"Whitepay","Whitepay"
"Enabled","Увімкнений"
"Plugin state","Стан плагіна"
"Title","Назва"
"Text displayed at checkout","Текст, що відображається під час оформлення замовлення"
"Slug","Slug"
"You can manage your Whitepay Slug within the Whitepay Settings Account page - https://crm.whitepay.com/settings/account","Ви можете керувати своїм Slug на сторінці налаштувань облікового запису Whitepay - https://crm.whitepay.com/settings/account"
"Token","Токен"
"You can manage your Whitepay Token within the Whitepay Settings Tokens page - https://crm.whitepay.com/settings/tokens","Ви можете керувати своїм токеном на сторінці налаштувань токенів Whitepay - https://crm.whitepay.com/settings/tokens"
"Webhook Token","Webhook Токен"
"Using a webhook will allow you to receive data on changes in order status (paid, cancelled) from Whitepay. To get a webhook token, you need to insert the Callback URL, which placed under Webhook field, to the Whitepay Settings Tokens page, create webhook and copy token.","Використання веб-хука дозволить вам отримувати від Whitepay дані про зміну статусу замовлення (оплачено, скасовано). Щоб отримати токен webhook, вам потрібно вставити URL-адресу зворотного дзвінка, яка знаходиться під полем Webhook, на сторінку налаштувань токенів Whitepay, створити токен webhook і скопіювати токен."
"Use <strong>https://{your-domain}/whitepay/url/whitepaysuccess/</strong> where {your-domain} - your domain name","Використовуйте <strong>https://{ваш-домен}/whitepay/url/whitepaysuccess/</strong>, де {ваш-домен} - ім'я вашого домену"
"New order status","Статус нового замовлення"
"Order status after creation","Статус замовлення після створення"
"Status after payment","Статус після оплати"
"Order status after successful payment","Статус замовлення після успішної оплати"
"Status after declined payment","Статус після відхилення платежу"
"Order status after declined payment","Статус замовлення після відхилення платежу"
"Allowed Shipping Methods","Дозволені способи доставки"
"Sort Order","Порядок сортування"
"Defines the sort order of the section of payment methods","Визначає порядок сортування розділу способів оплати"
"Debug","Режим налагодження"
"Enable Debug mode (logging into /var/log/whitepay.log)","Увімкніть режим налагодження (знаходиться /var/log/whitepay.log)"
